data,date,time,alertDate,category,category_desc,matrix_id,rid
Kfar Tapuach,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465210
Kokhav Ya'akov,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465209
Itzhar,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465208
Talmon,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465207
Hermesh,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465206
Hinanit,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465205
Havat Gil'ad,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465204
Havat Avihai,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465203
Har Bracha,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465202
Dolev,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465201
Givat Harel,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465200
Giv'at Asaf,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465199
Brukhin,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465198
Beit Horon,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465197
Beit Arie,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465196
Beit El,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465195
Elon Moreh,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465194
Itamar,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465193
Sha'ar Binyamin Industrial Zone,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465192
